sex,Age,Energy (kcal/d),"Total Carbohydrates
(% TEI)",Fibers (g/d),"Total fat
 (% TEI)",ALA (% TEI),EPA + DHA (mg/d),DHA (mg/d),LA (% TEI),"MUFA
(% TEI)",SFA (% TEI),"Protein
(g/kg/d)",additional Protein (g/d),"Sugars
(% TEI)",Water (ml/d),Biotin�(�g/d),Cobalamin (�g/d),Folate (�g DFE/d),Niacin (NE/MJ/d),"Pantothenic acid
(mg/d)",Riboflavin (mg/d),Thiamin (mg/MJ/d),Vit A (�g-RE/d),Vit B6 (mg/d),Vit C (mg/d) ,Vit D�(�g/d),Vit E (mg/d),Vit K (�g/d),"Calcium
(mg/d)",Chloride �(g/d),"Chromium
(�g/d)",Copper �(mg/d),Fluoride �(mg/d),"Iodine
(�g/d)","Iron
(mg/d)",Magnesium (mg/d),Manganese (mg/d),Molybdenum (�g/d),Phosphorus (mg/d),Potassium (mg/d),Selenium (�g/d),"Sodium
(g/d)","Zinc
(mg/d)"
male,8 y,1711 to 1933,45 to 60,16,20 to 35,0.5,250,NA,4,NA,<10,0.92,0,�10,1600 to 2100,25,2.5,200,1.6,4,1,0.1,400,1,45,15,9,30,800,2.6,NA,1.0,1.5,120,11,230,1.5,30,440,1800,35,1.7,7.4
male,9 y,1711 to 1933,45 to 60,16,20 to 35,0.5,250,NA,4,NA,<10,0.92,0,�10,1600 to 2100,25,2.5,200,1.6,4,1,0.1,400,1,45,15,9,30,800,2.6,NA,1.0,1.5,120,11,230,1.5,30,440,1800,35,1.7,7.4
male,10 y,1711 to 1933,45 to 60,16,20 to 35,0.5,250,NA,4,NA,<10,0.91,0,�10,1600 to 2100,25,2.5,200,1.6,4,1,0.1,400,1,45,15,9,30,800,2.6,NA,1.0,1.5,120,11,230,1.5,30,440,1800,35,1.7,7.4
male,11 y,2043 to 2513,45 to 60,19,20 to 35,0.5,250,NA,4,NA,<10,0.91,0,�10,2100,35,3.5,270,1.6,5,1.4,0.1,600,1.4,70,15,13,45,1150,3.1,NA,1.3,2.2,120,11,300,2,45,640,2700,55,2,10.7
male,12 y,2043 to 2513,45 to 60,19,20 to 35,0.5,250,NA,4,NA,<10,0.9,0,�10,2100,35,3.5,270,1.6,5,1.4,0.1,600,1.4,70,15,13,45,1150,3.1,NA,1.3,2.2,120,11,300,2,45,640,2700,55,2,10.7
male,13 y,2043 to 2513,45 to 60,19,20 to 35,0.5,250,NA,4,NA,<10,0.9,0,�10,2100,35,3.5,270,1.6,5,1.4,0.1,600,1.4,70,15,13,45,1150,3.1,NA,1.3,2.2,150,11,300,2,45,640,2700,55,2,10.7
male,14 y,2043 to 2513,45 to 60,19,20 to 35,0.5,250,NA,4,NA,<10,0.89,0,�10,2100,35,3.5,270,1.6,5,1.4,0.1,600,1.4,70,15,13,45,1150,3.1,NA,1.3,2.2,150,11,300,2,45,640,2700,55,2,10.7
male,15 y,2699 to 2940,45 to 60,21,20 to 35,0.5,250,NA,4,NA,<10,0.88,0,�10,2500,35,4,330,1.6,5,1.6,0.1,750,1.7,100,15,13,65,1150,3.1,NA,1.3,3.2,150,11,300,3,65,640,3500,70,2,14.2
male,16 y,2699 to 2940,45 to 60,21,20 to 35,0.5,250,NA,4,NA,<10,0.87,0,�10,2500,35,4,330,1.6,5,1.6,0.1,750,1.7,100,15,13,65,1150,3.1,NA,1.3,3.2,150,11,300,3,65,640,3500,70,2,14.2
male,17 y,2699 to 2940,45 to 60,21,20 to 35,0.5,250,NA,4,NA,<10,0.86,0,�10,2500,35,4,330,1.6,5,1.6,0.1,750,1.7,100,15,13,65,1150,3.1,NA,1.3,3.2,150,11,300,3,65,640,3500,70,2,14.2
male,18 to 65 y,2305 to 2672,45 to 60,�30,20 to 35,0.5,250,NA,4,10 to 15,<10,0.83�,0,�10,2500,40,4,330,1.6,5,1.6,0.1,750,1.7,110,15,13,70,"950
(18-24 y: 1000)",3.1,NA,1.6,3.4,150,11,350,3,65,550,3500,70,2,"9.4 or 11.7 or 14 or 16.3
depends on the daily consumption of phytates"
male,> 65 y,2100 to 2800,45 to 65,25 to 30,20 to 35,0.5,250,NA,4,10 to 15,<10,1.0 to 1.2,0,�10,1400 to 1500 (beverages),40,2.4 to 3.0,300 to 400,14 to 16 mg NE/d,5,1.3,1.1 to 1.2 mg/d,900 to 1000,1.4 to 1.7,90 to 110,20,12 to 15,80 to 120,1000 to 1200,1.8 to 2.3,NA,0.9 to 1.5,3.8 to 4.0,150,8 to 10,350 to 420,3,65,700,4000 to 4700,55 to 70,1.2 to 1.5,"11.0 or 14.0 or 16.0
depends on the daily consumption of phytates"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
